element_id,element_type,entity_id,entity_type
c03-p26,paragraph,MClay,character
c03-p27,paragraph,MClay,character
c03-p27,paragraph,MShepherd,character
c03-p28,paragraph,MShepherd,character
c03-p30,paragraph,AElliot,character
c03-p30,paragraph,CWentworth,character
c03-p31,paragraph,MShepherd,character
c03-p32,paragraph,CWentworth,character
c03-p32,paragraph,MShepherd,character
c03-p32,paragraph,SWElliot,character
c03-p33,paragraph,SWElliot,character
c03-p34,paragraph,MShepherd,character
c03-p34,paragraph,Crofts,character
c03-p34,paragraph,SWElliot,character
c03-p35,paragraph,SWElliot,character
c03-p35,paragraph,MShepherd,character
c03-p35,paragraph,ACroft,character
c03-p36,paragraph,SWElliot,character
c03-p36,paragraph,ACroft,character
c03-p37,paragraph,EElliot,character
c03-p38,paragraph,MShepherd,character
c03-p38,paragraph,AElliot,character
c04-p01,paragraph,CWentworth,character
c04-p01,paragraph,AElliot,character
c04-p02,paragraph,SWElliot,character
c04-p02,paragraph,AElliot,character
c04-p02,paragraph,LRussell,character
c04-p03,paragraph,AElliot,character
c04-p03,paragraph,CWentworth,character
c04-p03,paragraph,LRussell,character
c04-p04,paragraph,CWentworth,character
c04-p04,paragraph,AElliot,character
c04-p04,paragraph,LRussell,character
c04-p05,paragraph,AElliot,character
c04-p05,paragraph,SWElliot,character
c04-p05,paragraph,EElliot,character
c04-p05,paragraph,LRussell,character
c04-p05,paragraph,CWentworth,character
c04-p06,paragraph,AElliot,character
c04-p06,paragraph,CWentworth,character
c04-p07,paragraph,CWentworth,character
c04-p07,paragraph,AElliot,character
c04-p07,paragraph,MMusgrove,character
c04-p07,paragraph,LRussell,character
c04-p07,paragraph,CMusgrove,character
c04-p07,paragraph,SWElliot,character
c04-p08,paragraph,AElliot,character
c04-p08,paragraph,LRussell,character
c04-p08,paragraph,CWentworth,character
c04-p09,paragraph,AElliot,character
c04-p10,paragraph,AElliot,character
c04-p10,paragraph,MCroft,character
c04-p10,paragraph,CWentworth,character
c04-p10,paragraph,ACroft,character
c04-p11,paragraph,AElliot,character
c04-p11,paragraph,MCroft,character
c04-p11,paragraph,ACroft,character
c04-p11,paragraph,MMusgrove,character
c04-p12,paragraph,AElliot,character
c04-p12,paragraph,ACroft,character
c04-p12,paragraph,MCroft,character
c04-p12,paragraph,LRussell,character
c04-p12,paragraph,MMusgrove,character
c05-p01,paragraph,MCroft,character
c05-p01,paragraph,ACroft,character
c05-p01,paragraph,AElliot,character
c05-p01,paragraph,LRussell,character
c06-p01,paragraph,AElliot,character
c06-p01,paragraph,CMusgroveE,character
c06-p01,paragraph,MMusgroveE,character
c06-p01,paragraph,SWElliot,character
c06-p01,paragraph,MMusgrove,character
c06-p01,paragraph,EElliot,character
c06-p02,paragraph,LRussell,character
c06-p02,paragraph,AElliot,character
c06-p03,paragraph,CMusgroveE,character
c06-p03,paragraph,MMusgroveE,character
c06-p03,paragraph,HMusgrove,character
c06-p03,paragraph,LMusgrove,character
c06-p03,paragraph,AElliot,character
c06-p04,paragraph,AElliot,character
c06-p04,paragraph,MMusgrove,character
c06-p04,paragraph,EElliot,character
c06-p04,paragraph,LEElliot,character
c06-p04,paragraph,CMusgrove,character
c06-p04,paragraph,WMusgrove,character
c06-p04,paragraph,CMusgroveL,character
c06-p05,paragraph,CMusgrove,character
c06-p05,paragraph,AElliot,character
c06-p05,paragraph,LRussell,character
c06-p05,paragraph,MMusgrove,character
c06-p05,paragraph,MMusgroveE,character
c06-p06,paragraph,CMusgrove,character
c06-p06,paragraph,MMusgrove,character
c06-p06,paragraph,CMusgroveL,character
c06-p06,paragraph,WMusgrove,character
c06-p06,paragraph,AElliot,character
c06-p07,paragraph,MMusgrove,character
c06-p07,paragraph,CMusgrove,character
c06-p07,paragraph,AElliot,character
c06-p08,paragraph,MMusgrove,character
c06-p08,paragraph,WMusgrove,character
c06-p08,paragraph,CMusgroveL,character
c06-p08,paragraph,AElliot,character
c06-p08,paragraph,MMusgroveE,character
c06-p09,paragraph,MMusgrove,character
c06-p09,paragraph,MMusgroveE,character
c06-p09,paragraph,Jemima,character
c06-p09,paragraph,AElliot,character
c06-p10,paragraph,MMusgrove,character
c06-p10,paragraph,MMusgroveE,character
c06-p10,paragraph,AElliot,character
c06-p10,paragraph,HMusgrove,character
c06-p10,paragraph,LMusgrove,character
c06-p11,paragraph,AElliot,character
c06-p11,paragraph,MMusgrove,character
c06-p12,paragraph,AElliot,character
c06-p12,paragraph,MMusgrove,character
c06-p12,paragraph,CMusgroveE,character
c06-p12,paragraph,MMusgroveE,character
c06-p12,paragraph,HMusgrove,character
c06-p12,paragraph,LMusgrove,character
c06-p13,paragraph,MMusgrove,character
c06-p13,paragraph,HMusgrove,character
c06-p13,paragraph,LMusgrove,character
c06-p13,paragraph,LEElliot,character
c06-p13,paragraph,MMusgroveE,character
c06-p13,paragraph,CMusgroveE,character
c06-p14,paragraph,MMusgrove,character
c06-p14,paragraph,CMusgrove,character
c06-p15,paragraph,HMusgrove,character
c06-p15,paragraph,LMusgrove,character
c06-p15,paragraph,AElliot,character
c06-p15,paragraph,MMusgrove,character
c06-p15,paragraph,CMusgrove,character
c06-p16,paragraph,AElliot,character
c06-p16,paragraph,MMusgrove,character
c06-p16,paragraph,ACroft,character
c06-p16,paragraph,SCroft,character
c06-p17,paragraph,SCroft,character
c06-p17,paragraph,ACroft,character
c06-p17,paragraph,MMusgrove,character
c06-p17,paragraph,CMusgrove,character
c06-p17,paragraph,AElliot,character
c06-p17,paragraph,WMusgrove,character
c06-p17,paragraph,CMusgroveL,character
c06-p18,paragraph,SCroft,character
c06-p18,paragraph,ACroft,character
c06-p18,paragraph,AElliot,character
c06-p19,paragraph,SCroft,character
c06-p20,paragraph,AElliot,character
c06-p21,paragraph,SCroft,character
c06-p22,paragraph,AElliot,character
c06-p22,paragraph,SCroft,character
c06-p22,paragraph,MWentworth,character
c06-p22,paragraph,CWentworth,character
c06-p22,paragraph,EWentworth,character
c06-p23,paragraph,ACroft,character
c06-p23,paragraph,MMusgrove,character
c06-p24,paragraph,ACroft,character
c06-p24,paragraph,SCroft,character
c06-p24,paragraph,CWentworth,character
c06-p25,paragraph,ACroft,character
c06-p25,paragraph,WMusgrove,character
c06-p25,paragraph,CMusgroveL,character
c06-p25,paragraph,AElliot,character
c06-p25,paragraph,SCroft,character
c06-p26,paragraph,HMusgrove,character
c06-p26,paragraph,LMusgrove,character
c06-p26,paragraph,MMusgrove,character
c06-p27,paragraph,LMusgrove,character
c06-p27,paragraph,CMusgrove,character
c06-p27,paragraph,MMusgrove,character
c06-p27,paragraph,SCroft,character
c06-p27,paragraph,ACroft,character
c06-p27,paragraph,CWentworth,character
c06-p27,paragraph,RMusgrove,character
c06-p28,paragraph,RMusgrove,character
c06-p28,paragraph,MMusgroveE,character
c06-p28,paragraph,CMusgroveE,character
c06-p29,paragraph,RMusgrove,character
c06-p29,paragraph,HMusgrove,character
c06-p29,paragraph,LMusgrove,character
c06-p30,paragraph,RMusgrove,character
c06-p30,paragraph,CWentworth,character
c06-p30,paragraph,MMusgroveE,character
c06-p30,paragraph,MMusgroveE,character
c06-p31,paragraph,RMusgrove,character
c06-p31,paragraph,CWentworth,character
c06-p31,paragraph,MMusgroveE,character
c06-p32,paragraph,MMusgroveE,character
c06-p32,paragraph,RMusgrove,character
c06-p32,paragraph,CMusgroveE,character
c06-p33,paragraph,MMusgroveE,character
c06-p33,paragraph,CMusgroveE,character
c06-p33,paragraph,CWentworth,character
c06-p33,paragraph,AElliot,character
c07-p01,paragraph,CWentworth,character
c07-p01,paragraph,CMusgroveE,character
c07-p01,paragraph,ACroft,character
c07-p01,paragraph,AElliot,character
c07-p02,paragraph,CWentworth,character
c07-p02,paragraph,CMusgroveE,character
c07-p02,paragraph,AElliot,character
c07-p02,paragraph,MMusgrove,character
07-p02,paragraph,CMusgroveL,character
c07-p03,paragraph,CMusgroveL,character
c07-p03,paragraph,AElliot,character
c07-p03,paragraph,MRobinson,character
c07-p03,paragraph,CMusgrove,character
c07-p03,paragraph,MMusgrove,character
